T,u_D
-6.00000E+01,1.42563E-05
-5.50000E+01,1.40873E-05
-5.00000E+01,1.39266E-05
-4.50000E+01,1.37747E-05
-4.00000E+01,1.36317E-05
-3.50000E+01,1.34979E-05
-3.00000E+01,1.33736E-05
-2.50000E+01,1.32592E-05
-2.00000E+01,1.31548E-05
-1.50000E+01,1.30606E-05
-1.00000E+01,1.29770E-05
-5.00000E+00,1.29041E-05
0.00000E+00,1.28421E-05
5.00000E+00,1.27911E-05
1.00000E+01,1.27513E-05
1.50000E+01,1.27228E-05
2.00000E+01,1.27057E-05
2.50000E+01,1.27000E-05
3.00000E+01,1.27057E-05
3.50000E+01,1.27228E-05
4.00000E+01,1.27513E-05
4.50000E+01,1.27911E-05
5.00000E+01,1.28421E-05
5.50000E+01,1.29041E-05
6.00000E+01,1.29770E-05
6.50000E+01,1.30606E-05
7.00000E+01,1.31548E-05
7.50000E+01,1.32592E-05
8.00000E+01,1.33736E-05
