T,D,Hi,Lo
-6.00E+01,3.84E-04,3.98E-04,3.69E-04
-5.50E+01,3.76E-04,3.90E-04,3.62E-04
-5.00E+01,3.68E-04,3.82E-04,3.54E-04
-4.50E+01,3.61E-04,3.74E-04,3.47E-04
-4.00E+01,3.53E-04,3.67E-04,3.39E-04
-3.50E+01,3.45E-04,3.59E-04,3.32E-04
-3.00E+01,3.38E-04,3.51E-04,3.24E-04
-2.50E+01,3.30E-04,3.43E-04,3.17E-04
-2.00E+01,3.23E-04,3.36E-04,3.09E-04
-1.50E+01,3.15E-04,3.28E-04,3.02E-04
-1.00E+01,3.07E-04,3.20E-04,2.94E-04
-5.00E+00,3.00E-04,3.13E-04,2.87E-04
0.00E+00,2.92E-04,3.05E-04,2.79E-04
5.00E+00,2.84E-04,2.97E-04,2.72E-04
1.00E+01,2.77E-04,2.90E-04,2.64E-04
1.50E+01,2.69E-04,2.82E-04,2.57E-04
2.00E+01,2.62E-04,2.74E-04,2.49E-04
2.50E+01,2.54E-04,2.67E-04,2.41E-04
3.00E+01,2.46E-04,2.59E-04,2.34E-04
3.50E+01,2.39E-04,2.51E-04,2.26E-04
4.00E+01,2.31E-04,2.44E-04,2.18E-04
4.50E+01,2.24E-04,2.36E-04,2.11E-04
5.00E+01,2.16E-04,2.29E-04,2.03E-04
5.50E+01,2.08E-04,2.21E-04,1.95E-04
6.00E+01,2.01E-04,2.14E-04,1.88E-04
6.50E+01,1.93E-04,2.06E-04,1.80E-04
7.00E+01,1.85E-04,1.99E-04,1.72E-04
7.50E+01,1.78E-04,1.91E-04,1.65E-04
8.00E+01,1.70E-04,1.84E-04,1.57E-04
