T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high,D_TF_low,D_TF_mean
-60.0000000000,0.0003643630,0.0003835400,0.0004027170,0.0004123880,0.0003384940,0.0003757837
-59.9000000000,0.0003642182,0.0003833876,0.0004025570,0.0004122384,0.0003383434,0.0003756338
-59.8000000000,0.0003640734,0.0003832352,0.0004023970,0.0004120888,0.0003381929,0.0003754840
-59.7000000000,0.0003639287,0.0003830828,0.0004022369,0.0004119392,0.0003380424,0.0003753341
-59.6000000000,0.0003637839,0.0003829304,0.0004020769,0.0004117896,0.0003378919,0.0003751842
-59.5000000000,0.0003636391,0.0003827780,0.0004019169,0.0004116400,0.0003377414,0.0003750343
-59.4000000000,0.0003634943,0.0003826256,0.0004017569,0.0004114904,0.0003375909,0.0003748845
-59.3000000000,0.0003633495,0.0003824732,0.0004015969,0.0004113408,0.0003374404,0.0003747346
-59.2000000000,0.0003632048,0.0003823208,0.0004014368,0.0004111912,0.0003372898,0.0003745847
-59.1000000000,0.0003630600,0.0003821684,0.0004012768,0.0004110416,0.0003371393,0.0003744348
-59.0000000000,0.0003629152,0.0003820160,0.0004011168,0.0004108920,0.0003369888,0.0003742849
-58.9000000000,0.0003627704,0.0003818636,0.0004009568,0.0004107424,0.0003368382,0.0003741351
-58.8000000000,0.0003626256,0.0003817112,0.0004007968,0.0004105928,0.0003366877,0.0003739852
-58.7000000000,0.0003624809,0.0003815588,0.0004006367,0.0004104432,0.0003365372,0.0003738353
-58.6000000000,0.0003623361,0.0003814064,0.0004004767,0.0004102936,0.0003363866,0.0003736854
-58.5000000000,0.0003621913,0.0003812540,0.0004003167,0.0004101440,0.0003362361,0.0003735355
-58.4000000000,0.0003620465,0.0003811016,0.0004001567,0.0004099944,0.0003360856,0.0003733856
-58.3000000000,0.0003619017,0.0003809492,0.0003999967,0.0004098447,0.0003359350,0.0003732357
-58.2000000000,0.0003617570,0.0003807968,0.0003998366,0.0004096951,0.0003357845,0.0003730858
-58.1000000000,0.0003616122,0.0003806444,0.0003996766,0.0004095455,0.0003356339,0.0003729359
-58.0000000000,0.0003614674,0.0003804920,0.0003995166,0.0004093959,0.0003354834,0.0003727860
-57.9000000000,0.0003613226,0.0003803396,0.0003993566,0.0004092463,0.0003353328,0.0003726361
-57.8000000000,0.0003611778,0.0003801872,0.0003991966,0.0004090967,0.0003351823,0.0003724862
-57.7000000000,0.0003610331,0.0003800348,0.0003990365,0.0004089470,0.0003350317,0.0003723363
-57.6000000000,0.0003608883,0.0003798824,0.0003988765,0.0004087974,0.0003348812,0.0003721864
-57.5000000000,0.0003607435,0.0003797300,0.0003987165,0.0004088668,0.0003349511,0.0003722560
-57.4000000000,0.0003605987,0.0003795776,0.0003985565,0.0004087169,0.0003348003,0.0003721058
-57.3000000000,0.0003604539,0.0003794252,0.0003983965,0.0004085670,0.0003346495,0.0003719557
-57.2000000000,0.0003603092,0.0003792728,0.0003982364,0.0004084171,0.0003344987,0.0003718055
-57.1000000000,0.0003601644,0.0003791204,0.0003980764,0.0004082672,0.0003343478,0.0003716553
-57.0000000000,0.0003600196,0.0003789680,0.0003979164,0.0004081173,0.0003341970,0.0003715052
-56.9000000000,0.0003598748,0.0003788156,0.0003977564,0.0004079675,0.0003340462,0.0003713550
-56.8000000000,0.0003597300,0.0003786632,0.0003975964,0.0004078176,0.0003338953,0.0003712048
-56.7000000000,0.0003595853,0.0003785108,0.0003974363,0.0004076677,0.0003337445,0.0003710546
-56.6000000000,0.0003594405,0.0003783584,0.0003972763,0.0004075178,0.0003335936,0.0003709045
-56.5000000000,0.0003592957,0.0003782060,0.0003971163,0.0004073679,0.0003334428,0.0003707543
