T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-60.0000000000,0.0003643630,0.0003835400,0.0004027170,0.0003875907,0.0003746666
-59.9000000000,0.0003642182,0.0003833876,0.0004025570,0.0003874410,0.0003745164
-59.8000000000,0.0003640734,0.0003832352,0.0004023970,0.0003872913,0.0003743663
-59.7000000000,0.0003639287,0.0003830828,0.0004022369,0.0003871416,0.0003742161
-59.6000000000,0.0003637839,0.0003829304,0.0004020769,0.0003869919,0.0003740659
-59.5000000000,0.0003636391,0.0003827780,0.0004019169,0.0003868422,0.0003739156
-59.4000000000,0.0003634943,0.0003826256,0.0004017569,0.0003866925,0.0003737654
-59.3000000000,0.0003633495,0.0003824732,0.0004015969,0.0003865428,0.0003736152
-59.2000000000,0.0003632048,0.0003823208,0.0004014368,0.0003863930,0.0003734650
-59.1000000000,0.0003630600,0.0003821684,0.0004012768,0.0003862433,0.0003733148
-59.0000000000,0.0003629152,0.0003820160,0.0004011168,0.0003860936,0.0003731646
-58.9000000000,0.0003627704,0.0003818636,0.0004009568,0.0003859439,0.0003730144
-58.8000000000,0.0003626256,0.0003817112,0.0004007968,0.0003857942,0.0003728642
-58.7000000000,0.0003624809,0.0003815588,0.0004006367,0.0003856445,0.0003727140
-58.6000000000,0.0003623361,0.0003814064,0.0004004767,0.0003854947,0.0003725638
-58.5000000000,0.0003621913,0.0003812540,0.0004003167,0.0003853450,0.0003724135
-58.4000000000,0.0003620465,0.0003811016,0.0004001567,0.0003851953,0.0003722633
-58.3000000000,0.0003619017,0.0003809492,0.0003999967,0.0003850456,0.0003721131
-58.2000000000,0.0003617570,0.0003807968,0.0003998366,0.0003848958,0.0003719629
-58.1000000000,0.0003616122,0.0003806444,0.0003996766,0.0003847461,0.0003718127
-58.0000000000,0.0003614674,0.0003804920,0.0003995166,0.0003845964,0.0003716624
-57.9000000000,0.0003613226,0.0003803396,0.0003993566,0.0003844467,0.0003715122
-57.8000000000,0.0003611778,0.0003801872,0.0003991966,0.0003842969,0.0003713620
-57.7000000000,0.0003610331,0.0003800348,0.0003990365,0.0003841472,0.0003712117
-57.6000000000,0.0003608883,0.0003798824,0.0003988765,0.0003839975,0.0003710615
-57.5000000000,0.0003607435,0.0003797300,0.0003987165,0.0003840670,0.0003711312
-57.4000000000,0.0003605987,0.0003795776,0.0003985565,0.0003839170,0.0003709807
-57.3000000000,0.0003604539,0.0003794252,0.0003983965,0.0003837670,0.0003708302
-57.2000000000,0.0003603092,0.0003792728,0.0003982364,0.0003836170,0.0003706797
-57.1000000000,0.0003601644,0.0003791204,0.0003980764,0.0003834670,0.0003705292
-57.0000000000,0.0003600196,0.0003789680,0.0003979164,0.0003833170,0.0003703787
-56.9000000000,0.0003598748,0.0003788156,0.0003977564,0.0003831670,0.0003702281
-56.8000000000,0.0003597300,0.0003786632,0.0003975964,0.0003830170,0.0003700776
-56.7000000000,0.0003595853,0.0003785108,0.0003974363,0.0003828670,0.0003699271
-56.6000000000,0.0003594405,0.0003783584,0.0003972763,0.0003827170,0.0003697766
-56.5000000000,0.0003592957,0.0003782060,0.0003971163,0.0003825670,0.0003696261
-56.4000000000,0.0003591509,0.0003780536,0.0003969563,0.0003824169,0.0003694756
-56.3000000000,0.0003590061,0.0003779012,0.0003967963,0.0003822669,0.0003693251
-56.2000000000,0.0003588614,0.0003777488,0.0003966362,0.0003821169,0.0003691746
-56.1000000000,0.0003587166,0.0003775964,0.0003964762,0.0003819669,0.0003690240
-56.0000000000,0.0003585718,0.0003774440,0.0003963162,0.0003818169,0.0003688735
-55.9000000000,0.0003584270,0.0003772916,0.0003961562,0.0003816669,0.0003687230
