T,u_x
-6.00000E+01,1.78676E-05
-5.50000E+01,1.76558E-05
-5.00000E+01,1.74545E-05
-4.50000E+01,1.72640E-05
-4.00000E+01,1.70848E-05
-3.50000E+01,1.69171E-05
-3.00000E+01,1.67614E-05
-2.50000E+01,1.66179E-05
-2.00000E+01,1.64871E-05
-1.50000E+01,1.63691E-05
-1.00000E+01,1.62643E-05
-5.00000E+00,1.61729E-05
0.00000E+00,1.60952E-05
5.00000E+00,1.60313E-05
1.00000E+01,1.59814E-05
1.50000E+01,1.59457E-05
2.00000E+01,1.59243E-05
2.50000E+01,1.59171E-05
3.00000E+01,1.59243E-05
3.50000E+01,1.59457E-05
4.00000E+01,1.59814E-05
4.50000E+01,1.60313E-05
5.00000E+01,1.60952E-05
5.50000E+01,1.61729E-05
6.00000E+01,1.62643E-05
6.50000E+01,1.63691E-05
7.00000E+01,1.64871E-05
7.50000E+01,1.66179E-05
8.00000E+01,1.67614E-05
